group,relative_path,workbook,sheet,max_row,max_col,first_non_empty_row_first_12_cols
01_Fig3_Fig4_stage1_inputs_cqr,01_Fig3_Fig4_stage1_inputs_cqr/export_one_day_outdoor_temp_irradiance.xlsx,export_one_day_outdoor_temp_irradiance.xlsx,某一天气象数据,97,4,时间步 | 时刻标签 | 室外温度_℃ | 室外辐照度
01_Fig3_Fig4_stage1_inputs_cqr,01_Fig3_Fig4_stage1_inputs_cqr/export_stage1_cqr_prediction_intervals.xlsx,export_stage1_cqr_prediction_intervals.xlsx,CQR结果,97,12,时间步 | 真实室温_K | N4SID预测室温_K | 0 | 置信度0.80下界_K | 置信度0.80上界_K | 置信度0.85下界_K | 置信度0.85上界_K | 置信度0.90下界_K | 置信度0.90上界_K | 置信度0.95下界_K | 置信度0.95上界_K
02_Fig5_cqr_gaussian,02_Fig5_cqr_gaussian/export_cqr_gaussian_risk_bounds_and_margins.xlsx,export_cqr_gaussian_risk_bounds_and_margins.xlsx,置信度0.80,97,13,原始舒适上边界_℃ | CQR风险上边界_℃ | 高斯风险上边界_℃ | CQR上收缩裕量_℃ | 高斯上收缩裕量_℃ | 原始舒适下边界_℃ | CQR风险下边界_℃ | 高斯风险下边界_℃ | CQR下收缩裕量_℃ | 高斯下收缩裕量_℃ |  | CQR实际使用置信度
02_Fig5_cqr_gaussian,02_Fig5_cqr_gaussian/export_cqr_gaussian_risk_bounds_and_margins.xlsx,export_cqr_gaussian_risk_bounds_and_margins.xlsx,置信度0.85,97,13,原始舒适上边界_℃ | CQR风险上边界_℃ | 高斯风险上边界_℃ | CQR上收缩裕量_℃ | 高斯上收缩裕量_℃ | 原始舒适下边界_℃ | CQR风险下边界_℃ | 高斯风险下边界_℃ | CQR下收缩裕量_℃ | 高斯下收缩裕量_℃ |  | CQR实际使用置信度
02_Fig5_cqr_gaussian,02_Fig5_cqr_gaussian/export_cqr_gaussian_risk_bounds_and_margins.xlsx,export_cqr_gaussian_risk_bounds_and_margins.xlsx,置信度0.90,97,13,原始舒适上边界_℃ | CQR风险上边界_℃ | 高斯风险上边界_℃ | CQR上收缩裕量_℃ | 高斯上收缩裕量_℃ | 原始舒适下边界_℃ | CQR风险下边界_℃ | 高斯风险下边界_℃ | CQR下收缩裕量_℃ | 高斯下收缩裕量_℃ |  | CQR实际使用置信度
02_Fig5_cqr_gaussian,02_Fig5_cqr_gaussian/export_cqr_gaussian_risk_bounds_and_margins.xlsx,export_cqr_gaussian_risk_bounds_and_margins.xlsx,置信度0.95,97,13,原始舒适上边界_℃ | CQR风险上边界_℃ | 高斯风险上边界_℃ | CQR上收缩裕量_℃ | 高斯上收缩裕量_℃ | 原始舒适下边界_℃ | CQR风险下边界_℃ | 高斯风险下边界_℃ | CQR下收缩裕量_℃ | 高斯下收缩裕量_℃ |  | CQR实际使用置信度
03_Fig6_Fig7_baseline_control_power,03_Fig6_Fig7_baseline_control_power/baseline_power_breakdown_compare_fixTs_vs_coord_all_beta.xlsx,baseline_power_breakdown_compare_fixTs_vs_coord_all_beta.xlsx,b80_hourly,25,21,h | Ts_协同(°C) | ma_协同 | Ts设定_固定(°C) | Ts实际_固定(°C) | ma_固定 | Php_协同(kW) | Pfan_协同(kW) | Ptot_协同(kW) | Php_固定(kW) | Pfan_固定(kW) | Ptot_固定(kW)
03_Fig6_Fig7_baseline_control_power,03_Fig6_Fig7_baseline_control_power/baseline_power_breakdown_compare_fixTs_vs_coord_all_beta.xlsx,baseline_power_breakdown_compare_fixTs_vs_coord_all_beta.xlsx,b85_hourly,25,21,h | Ts_协同(°C) | ma_协同 | Ts设定_固定(°C) | Ts实际_固定(°C) | ma_固定 | Php_协同(kW) | Pfan_协同(kW) | Ptot_协同(kW) | Php_固定(kW) | Pfan_固定(kW) | Ptot_固定(kW)
03_Fig6_Fig7_baseline_control_power,03_Fig6_Fig7_baseline_control_power/baseline_power_breakdown_compare_fixTs_vs_coord_all_beta.xlsx,baseline_power_breakdown_compare_fixTs_vs_coord_all_beta.xlsx,b90_hourly,25,21,h | Ts_协同(°C) | ma_协同 | Ts设定_固定(°C) | Ts实际_固定(°C) | ma_固定 | Php_协同(kW) | Pfan_协同(kW) | Ptot_协同(kW) | Php_固定(kW) | Pfan_固定(kW) | Ptot_固定(kW)
03_Fig6_Fig7_baseline_control_power,03_Fig6_Fig7_baseline_control_power/baseline_power_breakdown_compare_fixTs_vs_coord_all_beta.xlsx,baseline_power_breakdown_compare_fixTs_vs_coord_all_beta.xlsx,b95_hourly,25,21,h | Ts_协同(°C) | ma_协同 | Ts设定_固定(°C) | Ts实际_固定(°C) | ma_固定 | Php_协同(kW) | Pfan_协同(kW) | Ptot_协同(kW) | Php_固定(kW) | Pfan_固定(kW) | Ptot_固定(kW)
