"relative_path","size_bytes","last_write_time"
"data\baseline\baseline_fixedTs_multi_35_42_beta_95_v4.mat","239200","2026-04-12T20:23:05"
"data\baseline\baseline_fixedTs_multi_42_45_beta_95_v4.mat","240544","2026-05-05T09:51:53"
"data\exports\01_Fig3_Fig4_stage1_inputs_cqr\export_one_day_outdoor_temp_irradiance.xlsx","5317","2026-04-17T09:44:26"
"data\exports\01_Fig3_Fig4_stage1_inputs_cqr\export_stage1_cqr_prediction_intervals.xlsx","15372","2026-04-14T20:37:49"
"data\exports\02_Fig5_cqr_gaussian\export_cqr_gaussian_risk_bounds_and_margins.xlsx","34644","2026-04-17T11:06:36"
"data\exports\03_Fig6_Fig7_baseline_control_power\baseline_power_breakdown_compare_fixTs_vs_coord_all_beta.xlsx","33571","2026-04-09T16:16:58"
"data\exports\03_Fig6_Fig7_baseline_control_power\export_baseline_fixedTs_vs_coop.xlsx","103550","2026-04-13T10:57:11"
"data\exports\04_Fig9_Fig14_reserve_summary\credible_reserve_summary_coop_beta_95.xlsx","27474","2026-04-06T15:37:20"
"data\exports\04_Fig9_Fig14_reserve_summary\export_hourly_max_feasible_and_credible_reserve_all_beta.xlsx","25290","2026-04-11T12:04:59"
"data\exports\05_Fig10_Fig11_workpoint_risk\export_credible_screen_beta_90_all_hours.xlsx","2408407","2026-04-16T09:30:41"
"data\exports\05_Fig10_Fig11_workpoint_risk\export_hourly_reserve_ts_ma.xlsx","247138","2026-04-13T21:14:04"
"data\exports\05_Fig10_Fig11_workpoint_risk\export_hourly_risk_bounds_and_temperature_trajectories.xlsx","6140582","2026-04-15T10:46:22"
"data\exports\05_Fig10_Fig11_workpoint_risk\export_typical_hour_credible_screen_beta_90_h12.xlsx","26913","2026-04-15T22:31:20"
"data\exports\06_Fig12_Fig13_cost_curves_surfaces\export_hourly_credible_cost_curves_all_beta.xlsx","656525","2026-04-17T17:03:01"
"data\exports\06_Fig12_Fig13_cost_curves_surfaces\export_hourly_credible_cost_curves_for_origin_all_beta.xlsx","142683","2026-04-17T17:03:02"
"data\exports\06_Fig12_Fig13_cost_curves_surfaces\export_hourly_credible_cost_curves_noRevenue_all_beta.xlsx","634072","2026-04-11T20:26:01"
"data\exports\06_Fig12_Fig13_cost_curves_surfaces\export_hourly_credible_netcost_surface_all_beta.xlsx","1132137","2026-04-17T17:03:02"
"data\exports\06_Fig12_Fig13_cost_curves_surfaces\export_hourly_credible_netcost_surface_noRevenue_all_beta.xlsx","1132177","2026-04-11T20:26:02"
"data\exports\06_Fig12_Fig13_cost_curves_surfaces\export_hourly_feasible_cost_curves_all_beta.xlsx","717199","2026-04-17T21:11:00"
"data\exports\06_Fig12_Fig13_cost_curves_surfaces\export_hourly_feasible_cost_curves_for_origin_all_beta.xlsx","179950","2026-04-17T21:11:00"
"data\exports\06_Fig12_Fig13_cost_curves_surfaces\hourly_credible_revenue_costcurve_data.xlsx","224645","2026-04-17T16:31:21"
"data\exports\导出Excel索引.md","3271","2026-05-06T08:36:35"
"data\figures\fig1_coverage_tuned_parallel.png","225895","2026-05-05T15:28:35"
"data\figures\fig2_width_tuned_parallel.png","206772","2026-05-05T15:28:35"
"data\figures\fig3_example_tuned_parallel.png","165182","2026-05-05T15:28:35"
"data\postprocess\cost\hourly_reserve_credible_cost_full_beta_95.mat","59426072","2026-04-11T18:39:17"
"data\postprocess\market\hourly_reserve_credible_revenue_beta_95.mat","36262976","2026-04-08T15:44:47"
"data\postprocess\market\hourly_reserve_credible_revenue_full_beta_80.mat","565125912","2026-04-11T09:28:14"
"data\postprocess\market\hourly_reserve_credible_revenue_full_beta_85.mat","559234488","2026-04-11T09:28:53"
"data\postprocess\market\hourly_reserve_credible_revenue_full_beta_90.mat","553290520","2026-04-11T09:29:34"
"data\postprocess\market\hourly_reserve_credible_revenue_full_beta_95.mat","532490408","2026-04-16T17:56:01"
"data\postprocess\market\hourly_reserve_credible_revenue_full_noRevenue_beta_80.mat","565135712","2026-04-17T17:00:35"
"data\postprocess\market\hourly_reserve_credible_revenue_full_noRevenue_beta_85.mat","559244208","2026-04-17T17:01:24"
"data\postprocess\market\hourly_reserve_credible_revenue_full_noRevenue_beta_90.mat","553300280","2026-04-17T17:02:12"
"data\postprocess\market\hourly_reserve_credible_revenue_full_noRevenue_beta_95.mat","532509744","2026-04-17T17:03:01"
"data\processed\processed_input.mat","82780","2026-03-22T15:17:20"
"data\processed\processed_state.mat","27775","2026-03-22T15:17:20"
"data\raw\07 2020.xlsx","36034978","2026-03-30T15:40:19"
"data\raw\2025-2-14.xls","7156","2026-04-19T16:25:17"
"data\raw\dymola\input.mat","490000","2026-03-22T15:14:30"
"data\raw\dymola\processDymola.mlx","3413","2026-03-22T15:17:23"
"data\raw\dymola\state.mat","140133","2026-03-22T15:14:13"
"data\raw\market_prices.mat","567","2026-02-01T19:14:51"
"data\README.md","1457","2026-05-06T08:45:25"
"data\regd\regd_15min_moments_and_hourly_cov_dynamic.mat","13475","2026-04-06T21:31:52"
"data\regd\regd_15min_variance_for_sim_dynamic.mat","3818","2026-04-06T20:09:23"
"data\reserve\hourly_credible_costcurve_profit_map_V1_beta_95.mat","15798528","2026-04-09T09:07:02"
"data\reserve\hourly_credible_feasibility_beta_95.mat","813728","2026-04-07T09:13:12"
"data\reserve\hourly_credible_feasibility_v2_all_beta.mat","23244216","2026-04-11T09:08:44"
"data\reserve\hourly_credible_feasibility_v2_beta_80.mat","5818280","2026-04-11T09:08:16"
"data\reserve\hourly_credible_feasibility_v2_beta_85.mat","5812912","2026-04-11T09:08:25"
"data\reserve\hourly_credible_feasibility_v2_beta_90.mat","5807688","2026-04-11T09:08:33"
"data\reserve\hourly_credible_feasibility_v2_beta_95.mat","5800544","2026-04-11T09:08:42"
"data\reserve\hourly_reserve_costcurve_all_beta.mat","214563552","2026-04-10T23:41:01"
"data\reserve\hourly_reserve_costcurve_beta_80.mat","53790728","2026-04-10T21:12:19"
"data\reserve\hourly_reserve_costcurve_beta_85.mat","53715560","2026-04-10T22:01:47"
"data\reserve\hourly_reserve_costcurve_beta_90.mat","53636296","2026-04-10T22:51:06"
"data\reserve\hourly_reserve_costcurve_beta_95.mat","53561128","2026-04-10T23:40:48"
"data\reserve\hourly_reserve_costcurve_fixTsConst_all_beta.mat","42250424","2026-04-02T09:18:24"
"data\reserve\hourly_reserve_costcurve_fixTsConst_beta_80.mat","10742640","2026-04-02T08:52:28"
"data\reserve\hourly_reserve_costcurve_fixTsConst_beta_85.mat","10625792","2026-04-02T09:01:18"
"data\reserve\hourly_reserve_costcurve_fixTsConst_beta_90.mat","10391096","2026-04-02T09:09:57"
